id,name,area,urban,agriculture,forest,unproductive
1,Aguascalientes,0,6,7,3,93
2,Baja California,0,48,79,63,2967
3,Baja California Sur,0,9,10,13,78
4,Campeche,0,6,8,40,76
5,Chiapas,0,4,10,133,536
6,Chihuahua,0,188,93,-51,3468
7,Ciudad de Mexico,0,12,15,20,1340
8,Coahuila,0,16,8,-53,242
9,Colima,0,20,95,371,694
10,Durango,0,68,9,-87,168
11,Guanajuato,0,8,87,974,5370
12,Guerrero,0,46,43,-7,1507
13,Hidalgo,0,4,12,182,366
14,Jalisco,0,15,27,84,2241
15,Mexico,0,14,18,31,3089
16,Michoacan,0,17,51,204,2400
17,Morelos,0,28,50,81,988
18,Nayarit,0,50,15,-70,185
19,Nuevo Leon,0,20,16,-22,919
20,Oaxaca,0,19,21,10,875
21,Puebla,0,7,16,141,1031
22,Queretaro,0,4,10,137,227
23,Quintana Roo,0,11,34,209,628
24,San Luis Potosi,0,14,28,101,803
25,Sinaloa,0,88,29,-67,866
26,Sonora,0,28,54,94,1582
27,Tabasco,0,9,24,182,585
28,Tamaulipas,0,29,23,-21,800
29,Tlaxcala,0,5,11,135,154
30,Veracruz,0,6,15,142,1179
31,Yucatan,0,2,3,78,72
32,Zacatecas,0,10,77,699,1244
