id,name,area,homicidios2010,homicidios2020,variacion10-20,unproductive
1,Aguascalientes,1.4,6,7,3,93
2,Baja California,3.8,48,79,63,2967
3,Baja California Sur,0.8,9,10,13,78
4,Campeche,0.9,6,8,40,76
5,Chiapas,5.5,4,10,133,536
6,Chihuahua,3.7,188,93,-51,3468
7,Ciudad de Mexico,9.2,12,15,20,1340
8,Coahuila,3.1,16,8,-53,242
9,Colima,0.7,20,95,371,694
10,Durango,1.8,68,9,-87,168
11,Guanajuato,6.2,8,87,974,5370
12,Guerrero,3.5,46,43,-7,1507
13,Hidalgo,3.1,4,12,182,366
14,Jalisco,8.3,15,27,84,2241
15,Mexico,17.0,14,18,31,3089
16,Michoacan,4.7,17,51,204,2400
17,Morelos,2.0,28,50,81,988
18,Nayarit,1.2,50,15,-70,185
19,Nuevo Leon,5.8,20,16,-22,919
20,Oaxaca,4.1,19,21,10,875
21,Puebla,6.6,7,16,141,1031
22,Queretaro,2.4,4,10,137,227
23,Quintana Roo,1.9,11,34,209,628
24,San Luis Potosi,2.8,14,28,101,803
25,Sinaloa,3.0,88,29,-67,866
26,Sonora,2.9,28,54,94,1582
27,Tabasco,2.4,9,24,182,585
28,Tamaulipas,3.5,29,23,-21,800
29,Tlaxcala,1.3,5,11,135,154
30,Veracruz,8.1,6,15,142,1179
31,Yucatan,2.3,2,3,78,72
32,Zacatecas,1.6,10,77,699,1244
