id,name,area,urban,agriculture,forest,unproductive
1,Aguascalientes,6.5,6.5,6.5,6.5,6.5
2,Baja California,78.7,78.7,78.7,78.7,78.7
3,Baja California Sur,9.8,9.8,9.8,9.8,9.8
4,Campeche,8.2,8.2,8.2,8.2,8.2
5,Coahuila,7.7,7.7,7.7,7.7,7.7
6,Colima,94.9,94.9,94.9,94.9,94.9
7,Chiapas,9.7,9.7,9.7,9.7,9.7
8,Chihuahua,92.7,92.7,92.7,92.7,92.7
9,Ciudad de Mexico,14.5,14.5,14.5,14.5,14.5
10,Durango,9.2,9.2,9.2,9.2,9.2
11,Guanajuato,87.1,87.1,87.1,87.1,87.1
12,Guerrero,42.6,42.6,42.6,42.6,42.6
13,Hidalgo,11.9,11.9,11.9,11.9,11.9
14,Jalisco,26.8,26.8,26.8,26.8,26.8
21,Mexico,18.2,18.2,18.2,18.2,18.2
22,Michoacan,50.5,50.5,50.5,50.5,50.5
23,Morelos,50.1,50.1,50.1,50.1,50.1
24,Nayarit,15,15,15,15,15
25,Nuevo Leon,15.9,15.9,15.9,15.9,15.9
26,Oaxaca,21.2,21.2,21.2,21.2,21.2
27,Puebla,15.7,15.7,15.7,15.7,15.7
28,Queretaro,9.6,9.6,9.6,9.6,9.6
29,Quintana Roo,33.8,33.8,33.8,33.8,33.8
30,San Luis Potosi,28.5,28.5,28.5,28.5,28.5
31,Sinaloa,28.6,28.6,28.6,28.6,28.6
32,Sonora,53.7,53.7,53.7,53.7,53.7
33,Tabasco,24.3,24.3,24.3,24.3,24.3
34,Tamaulipas,22.7,22.7,22.7,22.7,22.7
35,Tlaxcala,11.5,11.5,11.5,11.5,11.5
36,Veracruz,14.6,14.6,14.6,14.6,14.6
37,Yucatan,3.1,3.1,3.1,3.1,3.1
38,Zacatecas,76.7,76.7,76.7,76.7,76.7
