id,name,area,urban,agriculture,forest,unproductive
1,Aguascalientes,0,7,6,6.5,6.5
2,Baja California,0,79,48,78.7,78.7
3,Baja California Sur,0,10,9,9.8,9.8
4,Campeche,0,8,6,8.2,8.2
7,Chiapas,0,10,4,9.7,9.7
8,Chihuahua,0,93,188,92.7,92.7
9,Ciudad de Mexico,0,15,12,14.5,14.5
5,Coahuila,0,8,16,7.7,7.7
6,Colima,0,95,20,94.9,94.9
10,Durango,0,9,68,9.2,9.2
11,Guanajuato,0,87,8,87.1,87.1
12,Guerrero,0,43,46,42.6,42.6
13,Hidalgo,0,12,4,11.9,11.9
14,Jalisco,0,27,15,26.8,26.8
15,Mexico,0,18,14,18.2,18.2
16,Michoacan,0,51,17,50.5,50.5
17,Morelos,0,50,28,50.1,50.1
18,Nayarit,0,15,50,15,15
19,Nuevo Leon,0,16,20,15.9,15.9
20,Oaxaca,0,21,19,21.2,21.2
21,Puebla,0,16,7,15.7,15.7
22,Queretaro,0,10,4,9.6,9.6
23,Quintana Roo,0,34,11,33.8,33.8
24,San Luis Potosi,0,28,14,28.5,28.5
25,Sinaloa,0,29,88,28.6,28.6
26,Sonora,0,54,28,53.7,53.7
27,Tabasco,0,24,9,24.3,24.3
28,Tamaulipas,0,23,29,22.7,22.7
29,Tlaxcala,0,11,5,11.5,11.5
30,Veracruz,0,15,6,14.6,14.6
31,Yucatan,0,3,2,3.1,3.1
32,Zacatecas,0,77,10,76.7,76.7
